job_id,skill_name,industry_name
3700345653,Information Technology,Architecture and Planning
3700347882,Customer Service,Packaging and Containers Manufacturing
3700347882,Project Management,Packaging and Containers Manufacturing
3700347882,Management,Packaging and Containers Manufacturing
3700348353,Research,IT Services and IT Consulting
3700348353,Analyst,IT Services and IT Consulting
3700348353,Information Technology,IT Services and IT Consulting
3700359414,Other,Wellness and Fitness Services
3700362103,Information Technology,Food and Beverage Services
3700365105,Management,
3700365105,Manufacturing,
3700365455,Accounting/Auditing,Real Estate
3700365455,Finance,Real Estate
3700368597,Accounting/Auditing,Real Estate
3700368597,Finance,Real Estate
3700370547,Design,Architecture and Planning
3700370547,Art/Creative,Architecture and Planning
3700370547,Information Technology,Architecture and Planning
3700375925,Management,Paper and Forest Product Manufacturing
3700375925,Manufacturing,Paper and Forest Product Manufacturing
3700377536,Purchasing,Wholesale
3700377536,Supply Chain,Wholesale
3700381160,Health Care Provider,
3700382987,Education,Primary and Secondary Education
3700382987,Training,Primary and Secondary Education
3700386191,Management,Paper and Forest Product Manufacturing
3700386191,Manufacturing,Paper and Forest Product Manufacturing
3700386731,Marketing,Public Relations and Communications Services
3700386731,Sales,Public Relations and Communications Services
3700388143,Accounting/Auditing,Hospitals and Health Care
3700388143,Finance,Hospitals and Health Care
3700389632,Legal,
3700389730,Management,
3700389730,Manufacturing,
3700391622,Human Resources,Food and Beverage Services
3700394316,Consulting,
3700394316,Information Technology,
3700394316,Sales,
3700398203,Accounting/Auditing,Medical Practices
3700398203,Finance,Medical Practices
3700504344,Accounting/Auditing,Truck Transportation
3700504344,Finance,Truck Transportation
3700533944,Management,Staffing and Recruiting
3700533944,Manufacturing,Staffing and Recruiting
3700534083,Management,Staffing and Recruiting
3700534083,Manufacturing,Staffing and Recruiting
3700535284,Sales,Entertainment Providers
3700535284,Business Development,Entertainment Providers
3700535284,Marketing,Entertainment Providers
3700535499,Management,Entertainment Providers
3700535499,Manufacturing,Entertainment Providers
3700536480,Sales,Entertainment Providers
3700536480,Administrative,Entertainment Providers
3700536480,Customer Service,Entertainment Providers
3700540954,Health Care Provider,Hospitals and Health Care
3700541620,Other,Motor Vehicle Manufacturing
3700541620,Other,Retail
3700541621,Other,Motor Vehicle Manufacturing
3700541621,Other,Retail
3700541842,Other,Hospitals and Health Care
3700542410,General Business,Entertainment Providers
3700542410,Accounting/Auditing,Entertainment Providers
3700542483,Other,Motor Vehicle Manufacturing
3700542483,Other,Retail
3700542544,Other,Motor Vehicle Manufacturing
3700542544,Other,Retail
3700542715,Health Care Provider,Hospitals and Health Care
3700542787,Management,Real Estate
3700542787,Manufacturing,Real Estate
3700542993,Research,Financial Services
3700542993,Analyst,Financial Services
3700542993,Information Technology,Financial Services
3700543453,Other,Motor Vehicle Manufacturing
3700543453,Other,Retail
3700543455,Other,Motor Vehicle Manufacturing
3700543455,Other,Retail
